state_name,gig_male,gig_female,gig_others,total_gig_workers,female_gig_pct,snapshot_date
Andaman and Nicobar Islands,21,11,0,32,34.38,2025-03-27
Andhra Pradesh,2729,2396,0,5125,46.75,2025-03-27
Arunachal Pradesh,43,28,0,71,39.44,2025-03-27
Assam,5387,5422,1,10810,50.16,2025-03-27
Bihar,2205,2338,0,4543,51.46,2025-03-27
Chandigarh,109,23,0,132,17.42,2025-03-27
Chhattisgarh,437,210,0,647,32.46,2025-03-27
Delhi,2807,938,0,3745,25.05,2025-03-27
Goa,83,21,0,104,20.19,2025-03-27
Gujarat,3108,1306,0,4414,29.59,2025-03-27
Haryana,1299,334,0,1633,20.45,2025-03-27
Himachal Pradesh,104,158,0,262,60.31,2025-03-27
Jammu and Kashmir,326,160,0,486,32.92,2025-03-27
Jharkhand,981,543,1,1525,35.61,2025-03-27
Karnataka,4115,1220,0,5335,22.87,2025-03-27
Kerala,974,203,0,1177,17.25,2025-03-27
Ladakh,11,3,0,14,21.43,2025-03-27
Lakshadweep,1,0,0,1,0.0,2025-03-27
Madhya Pradesh,2357,1564,0,3921,39.89,2025-03-27
Maharashtra,8467,3355,1,11823,28.38,2025-03-27
Manipur,28,29,0,57,50.88,2025-03-27
Meghalaya,71,36,0,107,33.64,2025-03-27
Mizoram,21,15,0,36,41.67,2025-03-27
Nagaland,24,11,0,35,31.43,2025-03-27
Odisha,876,277,0,1153,24.02,2025-03-27
Puducherry,62,18,0,80,22.5,2025-03-27
Punjab,881,563,0,1444,38.99,2025-03-27
Rajasthan,2834,2010,0,4844,41.49,2025-03-27
Sikkim,29,13,0,42,30.95,2025-03-27
Tamil Nadu,3100,1733,3,4836,35.84,2025-03-27
Telangana,3656,317,0,3973,7.98,2025-03-27
Dadra and Nagar Haveli and Daman and Diu,13,10,0,23,43.48,2025-03-27
Tripura,128,44,0,172,25.58,2025-03-27
Uttar Pradesh,4788,1636,0,6424,25.47,2025-03-27
Uttarakhand,294,161,0,455,35.38,2025-03-27
West Bengal,14313,12058,0,26371,45.72,2025-03-27
